feature,gain
V258,1473110.4026489258
V70,1250199.8471183777
C13,704021.5012588501
V91,521839.04333114624
browser_raw,494638.399684906
uid3_C13_std,447171.414100647
card_id_freq,416059.2343406677
device_info,407314.48864364624
C1,405136.1081047058
uid4_freq,401356.5064468384
uid2_amount_usd_mean,397893.42948532104
email_purchaser,394096.10887145996
C8,372102.4890232086
uid2_D4_std,370727.3090362549
D2,368234.87300491333
uid2_C13_std,361560.92544174194
uid1_freq,356369.17402648926
uid1_D4_std,355308.35148239136
uid2_freq,354698.13336372375
uid2_amount_usd_std,352011.83739089966
uid1_D4_mean,347630.03922080994
uid1_amount_usd_mean,341503.24673843384
email_recipient,332066.9848251343
uid4_amount_usd_mean,325425.9147377014
card_id,324196.7536430359
uid1_C13_mean,319714.2660369873
uid1_amount_usd_std,306184.30040359497
uid2_C13_mean,305151.49964904785
uid4_amount_usd_std,304884.3097515106
V318,300108.805809021
uid4_C13_std,299475.2826538086
uid3_D4_std,287515.783039093
uid4_C13_mean,287420.7028770447
uid4_D4_std,286967.4871368408
uid2_D4_mean,286844.93405914307
uid3_amount_usd_std,277798.7060813904
uid1_C13_std,277034.4667663574
uid3_amount_usd_mean,275093.2937221527
issuer_code,265756.34619140625
os_raw,264112.465215683
issuer_code_freq,260754.56211090088
billing_zone,257539.51332855225
V294,255894.21829223633
V257,247030.46856307983
billing_zone_freq,237320.45937728882
C14,236909.37581253052
uid3_C13_mean,230358.33459854126
C11,227200.0384864807
days_since_last_tx,213916.510307312
uid3_D4_mean,208855.53847503662
amount_usd,194963.4347229004
screen_resolution,187770.30249404907
V308,181385.05617141724
C2,180402.80819892883
uid3_freq,177730.61645889282
card_type,169269.25793075562
uid4_D4_mean,167333.48191452026
V30,167119.20065307617
C6,150208.01593399048
card_age_days,150079.62142944336
V317,141147.89682769775
bin_code,140320.3253173828
D10,133772.25358200073
dist1,132781.97920417786
V283,132468.72002792358
card_country,122851.49505233765
D3,111023.89653778076
email_purchaser_freq,100301.3300743103
card_amount_mean_so_far,95347.93494987488
D4,90159.96212387085
V312,89564.39848327637
M5,88996.48084259033
V201,86757.2677268982
M6,85167.73001098633
D8,83422.85611915588
amount_zscore_card,80029.04172706604
D11,78370.7537765503
V45,76200.04796981812
amount_log,73988.88029098511
bin_code_freq,73796.91275024414
device_brand,72603.74031829834
amount_cents,72134.91817474365
id_02,68636.83935546875
hour_of_day,67624.5424118042
id_20,66159.08541488647
channel,63441.168811798096
V310,62617.59006881714
V131,61998.536766052246
device_info_freq,60707.00445175171
V29,59368.4672164917
C9,59165.171310424805
V87,55902.69172286987
D5,55192.81193161011
V189,54947.481185913086
V62,53697.588035583496
M4,53596.524505615234
V54,53052.54048538208
V133,52510.40545272827
V315,51481.93626785278
email_purchaser_provider,49579.68988418579
card_amount_sum_so_far,47052.290100097656
C4,42171.58741378784
V90,40487.89114379883
C5,39952.970153808594
V156,39916.216663360596
C10,38933.292961120605
V83,37423.237632751465
email_recipient_provider,36650.071853637695
V285,34761.99072647095
V187,32729.360313415527
day_of_week,32628.285457611084
V313,32546.59764480591
id_06,32213.946502685547
V102,30966.369995117188
V165,30761.48091506958
id_19,29256.997257232666
V149,29198.210510253906
V307,28998.479042053223
V76,28842.96953201294
C12,28828.76029586792
card_brand,28197.303760528564
V314,27940.797271728516
id_05,27316.507944107056
D6,27120.00234603882
V74,26297.77236557007
C7,26215.255325317383
V130,25794.129753112793
V281,25432.07020187378
M3,25149.182651519775
V67,25074.075550079346
V38,24786.5108833313
V280,24694.728660583496
V35,23811.62363433838
V75,23806.60771560669
V55,22919.96234893799
V243,22874.059902191162
V160,21287.480598449707
browser_raw_freq,21194.41846847534
dist2,21113.850177764893
V86,20970.369453430176
V49,20036.61863708496
V69,19924.866626739502
M2,19777.67774963379
V78,19752.323558807373
D14,19673.80421447754
id_18,19602.469482421875
V127,18957.97864151001
V37,18697.420280456543
id_38,18417.307613372803
id_09,18148.777019500732
M9,18146.0613822937
card_tx_count_so_far,18069.506477355957
V210,17565.54810333252
V82,17523.410469055176
V61,17010.862796783447
V48,16761.862594604492
email_recipient_freq,16514.37314605713
D9,16246.919681549072
V36,16238.641319274902
V44,16232.859182357788
V309,16073.873344421387
id_17,16070.192985534668
V56,15955.410961151123
V217,15935.49594116211
V129,15878.474996566772
V53,15712.17317199707
V143,15649.258457183838
V320,15454.571336746216
V282,15305.613567352295
D12,15142.600746154785
os_version,15004.255641937256
browser_version,14549.906044006348
id_14,14411.4105758667
id_01,14324.801208496094
D13,14248.849796295166
V270,14127.09334564209
id_13,14003.70234298706
V311,13944.921112060547
V12,13289.376670837402
id_03,13108.622230529785
V5,12863.878440856934
M7,12739.89881515503
V20,12717.044639587402
V333,12709.046718597412
V166,12534.680072784424
M8,12276.12000656128
V128,12115.641593933105
V287,11994.84262084961
V139,11862.106269836426
V203,11545.058780670166
V207,11305.151264190674
V77,11088.033391952515
V152,10785.332248687744
V13,10554.987998962402
V136,10240.001972198486
V124,9949.206954956055
screen_width,9934.641201019287
V170,9849.511344909668
V24,9785.413566589355
V94,9686.957027435303
V159,9624.387844085693
V266,9537.000247955322
V164,9515.048608779907
V244,9356.052215576172
V306,9299.387691497803
V19,9198.656101226807
V296,9153.171211242676
device_brand_freq,8904.36429977417
V267,8854.509269714355
V169,8814.942901611328
V4,8801.42359161377
V316,8243.019523620605
V205,8174.9801025390625
os_raw_freq,7970.287158966064
V145,7820.32160949707
V6,7815.005077362061
V23,7733.318862915039
billing_country,7646.175392150879
V291,7607.780406951904
V66,7575.685447692871
V268,7571.198089599609
V7,7560.989475250244
C3,7505.469833374023
V64,7340.338863372803
V225,6961.125988006592
browser_family,6935.6442222595215
D7,6735.504795074463
V79,6669.209903717041
V335,6616.779651641846
V52,6498.625915527344
V25,6451.548496246338
id_11,6263.20166015625
V177,6083.302192687988
V200,5884.075267791748
V154,5553.423286437988
V43,5474.534461975098
V188,5312.77961730957
V58,5289.103267669678
V135,5091.628620147705
V168,4990.637710571289
V51,4902.831558227539
V96,4652.753902435303
V298,4105.3671798706055
id_32,3660.5797843933105
V151,3645.743019104004
V224,3640.0959701538086
V286,3133.4336166381836
V246,2030.6180992126465
id_04,2026.6369171142578
V192,1735.8788871765137
